# 決算データ入力テンプレート
# 出典: 財務省「一般会計決算書」https://www.mof.go.jp/budget/decision/
# 記入方法: amount列に決算額（億円単位）を入力してください
# 端数処理: 億円未満は四捨五入
# ファイル名: settlement-YYYY.csv (YYYYは西暦年、例: settlement-2024.csv)
# 文字コード: UTF-8

year,id,name,amount_oku
2024,social,社会保障関係費,
2024,social-pension,年金,
2024,social-pension-kosei,厚生年金保険給付費,
2024,social-pension-kokumin,国民年金給付費,
2024,social-pension-other,その他年金関連,
2024,social-medical,医療,
2024,social-medical-kenko,健康保険給付費,
2024,social-medical-roujin,後期高齢者医療,
2024,social-medical-kokaho,国民健康保険,
2024,social-medical-other,その他医療費,
2024,social-care,介護,
2024,social-care-service,介護給付費,
2024,social-care-other,その他介護関連,
2024,social-child,少子化対策,
2024,social-child-jido,児童手当,
2024,social-child-hoiku,保育所関連,
2024,social-child-kodomo,こども家庭庁関連,
2024,social-welfare,生活扶助等,
2024,social-welfare-seikatsu,生活保護費,
2024,social-welfare-shogai,障害者支援,
2024,social-employment,雇用,
2024,social-emp-koyohoken,雇用保険,
2024,social-emp-other,その他雇用対策,
2024,social-other,その他,
2024,bond,国債費,
2024,bond-interest,利子及割引料,
2024,bond-repay,国債償還費,
2024,localalloc,地方交付税交付金等,
2024,localalloc-kotei,地方交付税交付金,
2024,localalloc-joto,地方譲与税譲与金,
2024,localalloc-tokurei,地方特例交付金等,
2024,defense,防衛関係費,
2024,defense-jinken,人件費・糧食費,
2024,defense-busshi,装備品等購入費,
2024,defense-kenkyu,研究開発費,
2024,defense-shisetsu,施設整備費,
2024,defense-ippan,一般物件費,
2024,defense-other,その他,
2024,public,公共事業関係費,
2024,public-road,道路整備,
2024,public-flood,治山治水,
2024,public-housing,住宅・都市環境整備,
2024,public-agri,農業農村整備,
2024,public-disaster,災害復旧等,
2024,public-port,港湾・空港・鉄道整備,
2024,public-forest,林野公共事業,
2024,public-fishery,漁港漁場整備,
2024,public-other,その他公共事業,
2024,education,文教及び科学振興費,
2024,edu-gikyo,義務教育費国庫負担金,
2024,edu-science,科学技術振興費,
2024,edu-shien,教育振興助成費,
2024,edu-ikuei,育英事業費（奨学金）,
2024,edu-shisetsu,教育施設費,
2024,food,食料安定供給関係費,
2024,food-kome,農業経営安定対策,
2024,food-shokuhin,食料品安定供給対策,
2024,food-other,その他,
2024,energy,エネルギー対策費,
2024,energy-saisei,再生可能エネルギー対策,
2024,energy-setsuyaku,省エネルギー対策,
2024,energy-other,その他エネルギー施策,
2024,sme,中小企業対策費,
2024,sme-shien,中小企業支援対策,
2024,sme-other,その他,
2024,oda,経済協力費,
2024,oda-oda,政府開発援助（ODA）,
2024,oda-kokusai,国際機関分担金,
2024,other,その他の事項経費等,
2024,other-reserve,予備費（使用額）,
2024,other-gyosei,一般行政費,
2024,other-justice,司法・警察関係費,
2024,other-misc,その他,
2024,__total__,歳出決算額合計,
